,Rewards Episodi,actor_losses,critic_losses,exploration_rates
184,760.7299999999999,-12.79237045288086,2910.58708984375,0.21563042859371076
185,2933.81,-20.338391876220705,4712.79021484375,0.21502747777070458
186,2532.57,-27.522984008789063,5682.130302734375,0.2142333065166107
187,450.06,-9.880538635253906,2166.160849609375,0.21395497025886281
188,1284.8600000000001,-38.883416976928714,7505.639375,0.21288781216735977
189,-49.61,-12.00488426208496,2448.0328515625,0.21256870388447668
190,-250.9699999999999,-41.18697135925293,7802.85048828125,0.21150846017022137
191,-524.6899999999999,-17.635707931518553,3434.296923828125,0.21106473629045053
192,-530.8899999999999,-22.969200210571287,4306.1344921875,0.21049560172269663
193,1663.1200000000003,-43.177905807495115,7407.1430859375,0.20944569816433384
194,242.13,-21.067309112548827,3913.690791015625,0.2089436061351708
195,42.46000000000001,-11.520615844726562,1993.80451171875,0.20867214236346496
196,1104.3699999999994,-45.2938777923584,7654.4648828125,0.207631333800219
197,3068.32,-47.16646026611328,7244.3513671875,0.20659571655026027
