,Rewards Steps
741,0.0
742,3.4400000000000013
743,-129.0
744,-258.0
745,-261.0
746,4.0
747,100.0
748,-76.32000000000001
749,-247.68
750,11.0
751,-150.0
752,93.0
753,-38.46000000000001
754,-272.0
755,190.0
756,8.960000000000008
757,145.34
758,55.430000000000014
759,-125.08
760,-72.48
761,-255.0
762,34.0
763,-166.0
764,-237.0
765,-60.0
766,-101.0
767,-98.0
768,-258.0
769,-135.0
770,181.0
771,-13.989999999999995
772,121.76
773,144.9
774,-31.0
775,25.0
776,110.0
777,-187.5
778,88.0
779,-176.0
780,-239.0
781,-231.0
782,-312.0
783,-145.0
784,-12.0
785,-228.0
786,-12.0
787,128.0
788,61.0
789,-354.0
790,-222.0
791,-209.0
792,-346.0
793,-430.0
794,49.0
795,-301.0
796,-85.0
797,-139.62
798,-276.0
799,-74.0
800,-394.0
801,24.0
802,5.0
803,-3.0
804,154.0
805,49.94
806,140.55
807,-45.0
808,128.0
809,-22.939999999999998
810,-231.0
811,-312.0
812,-201.0
813,128.0
814,-160.13
815,-210.0
816,-27.0
817,-36.0
818,-265.0
819,-362.0
820,-81.0
821,-3.0
822,244.0
823,33.839999999999996
824,-255.42000000000002
825,-305.0
826,-339.0
827,-318.0
828,-171.0
829,-46.0
830,16.389999999999997
831,-188.0
832,65.0
833,-258.0
834,-78.0
835,-64.0
836,-142.0
837,-147.0
838,125.0
839,50.68000000000001
840,55.970000000000006
841,-347.84000000000003
842,-323.0
843,3.0
844,14.810000000000002
845,-396.0
846,-134.0
847,16.0
848,157.77
849,-67.66000000000001
850,-248.26
851,-318.0
852,193.0
853,70.81
854,-52.720000000000006
855,-83.36
856,-199.0
857,-12.0
858,-5.0
859,-9.0
860,-43.0
861,10.0
862,-258.0
863,-71.0
864,23.0
865,166.0
866,58.24
867,-246.28
868,-313.0
869,-281.0
870,-223.0
871,-72.0
872,-211.0
873,-273.0
874,28.0
875,-144.0
876,-117.0
877,-360.0
878,-72.0
879,26.0
880,-160.0
881,-105.0
882,-236.0
883,69.0
884,-257.0
885,-371.0
886,-5.0
887,-362.0
888,104.0
889,-255.6
890,-3.0
891,-19.0
892,-2.0
893,-12.0
894,22.38
895,-146.0
896,-131.0
897,47.0
898,-303.0
899,-149.0
900,-51.0
901,-284.0
902,-195.0
903,-23.0
904,-248.84
905,-42.0
906,118.0
907,-30.0
908,12.0
909,-252.0
910,-42.0
911,-55.0
912,-320.0
913,-105.0
914,-335.0
915,-29.0
916,-87.0
917,-366.0
918,-110.0
919,-10.0
920,-3.0
921,-129.0
922,157.0
923,-7.699999999999989
924,-301.2
925,-236.0
926,56.0
927,-279.0
928,-15.0
929,-111.0
930,-90.0
931,-315.0
932,116.0
933,-226.40999999999997
934,-439.0
935,-360.0
936,-7.0
937,-181.99999999999997
938,22.0
939,50.720000000000006
940,-12.709999999999994
941,-155.0
942,-171.0
943,-363.0
944,-315.0
945,66.0
946,-190.2
947,-328.0
948,-144.0
949,-45.0
950,-15.0
951,198.0
952,39.269999999999996
953,-190.18
954,158.0
955,-135.52
956,-241.84000000000003
957,-132.0
958,0.0
959,-142.0
960,-216.0
961,-103.0
962,-66.0
963,-324.0
964,-42.0
965,-268.0
966,-50.0
967,2.0
968,-271.0
969,-34.0
970,-367.0
971,49.0
972,-163.34
973,131.0
974,27.52
975,2.0
976,88.0
977,-16.0
978,-169.0
979,-109.0
980,42.0
981,-102.51999999999998
982,183.23
983,101.23
984,13.030000000000001
985,19.72
986,-180.0
987,-225.0
988,158.0
989,95.38000000000001
990,11.11999999999999
991,-74.0
992,-279.0
993,-69.0
994,-105.0
995,-54.0
