,Rewards Episodi,actor_losses,critic_losses
203,534.48,"tf.Tensor(-14.354959, shape=(), dtype=float32)","tf.Tensor(570.13226, shape=(), dtype=float32)"
204,866.26,"tf.Tensor(-25.945473, shape=(), dtype=float32)","tf.Tensor(1229.3549, shape=(), dtype=float32)"
205,1299.2199999999998,"tf.Tensor(-34.820354, shape=(), dtype=float32)","tf.Tensor(1585.0348, shape=(), dtype=float32)"
206,1334.5200000000002,"tf.Tensor(-40.944057, shape=(), dtype=float32)","tf.Tensor(1699.0046, shape=(), dtype=float32)"
207,749.3399999999999,"tf.Tensor(-23.549799, shape=(), dtype=float32)","tf.Tensor(936.0449, shape=(), dtype=float32)"
208,1088.03,"tf.Tensor(-38.502357, shape=(), dtype=float32)","tf.Tensor(1480.2942, shape=(), dtype=float32)"
209,567.16,"tf.Tensor(-17.865236, shape=(), dtype=float32)","tf.Tensor(716.02545, shape=(), dtype=float32)"
210,1216.0500000000002,"tf.Tensor(-35.913082, shape=(), dtype=float32)","tf.Tensor(1561.3436, shape=(), dtype=float32)"
211,455.71,"tf.Tensor(-12.028345, shape=(), dtype=float32)","tf.Tensor(435.62997, shape=(), dtype=float32)"
212,1694.19,"tf.Tensor(-51.437355, shape=(), dtype=float32)","tf.Tensor(2191.8972, shape=(), dtype=float32)"
213,1206.73,"tf.Tensor(-36.6155, shape=(), dtype=float32)","tf.Tensor(1398.8389, shape=(), dtype=float32)"
214,1431.8000000000002,"tf.Tensor(-43.034306, shape=(), dtype=float32)","tf.Tensor(1877.5425, shape=(), dtype=float32)"
215,347.74,"tf.Tensor(-9.265934, shape=(), dtype=float32)","tf.Tensor(325.98, shape=(), dtype=float32)"
216,1762.21,"tf.Tensor(-49.674442, shape=(), dtype=float32)","tf.Tensor(2029.2618, shape=(), dtype=float32)"
217,726.39,"tf.Tensor(-25.002886, shape=(), dtype=float32)","tf.Tensor(1014.14813, shape=(), dtype=float32)"
218,753.52,"tf.Tensor(-21.96959, shape=(), dtype=float32)","tf.Tensor(810.30255, shape=(), dtype=float32)"
